Premium,Price,Address,Beds,Baths,Sq_ft,Year_built,Price_index,Sq_ft_index,Year_built_index,Zipcode,Neighborhood,Fire_index,High_risk_index,Medium_risk_index,Low_risk_index
"$1,160.07","$1,895,000.00","209 Beverly Street, San Francisco,  CA 94132",3.0,2F11/2,2224.0,1940.0,-0.0554758147381944,0.4531469852157196,-0.7216608418602629,94132,Lakeshore,-0.4405760536069197,-0.34,-0.33,-0.3
"$1,668.83","$1,912,500.00","706 Mission Street #802, San Francisco,  CA 94103",2.0,2,1442.0,2021.0,-0.0488000120966414,-0.1619579176542245,1.113646165696455,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,279.24","$1,950,000.00","4171 24th Street #301, San Francisco,  CA 94114",3.0,2,1450.0,2018.0,-0.034494720721885,-0.1556652843767827,1.0456718320832432,94114,Noe Valley,-0.2251054588011498,-0.48,-0.33,-0.46
"$1,676.23","$1,980,000.00","73 Dolores Terrace, San Francisco,  CA 94110",3.0,2F11/2,1458.0,1998.0,-0.0230504876220799,-0.1493726510993408,0.5925096079951647,94110,Mission,2.3605416788680884,3.6,2.26,2.44
"$1,655.83","$1,995,000.00","280 Spear Street #31C, San Francisco,  CA 94105",2.0,2,1270.0,2020.0,-0.0173283710721774,-0.2972495331192251,1.090988054492051,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,636.83","$1,995,000.00","338 Spear Street #31E, San Francisco,  CA 94105",2.0,2,1340.0,2009.0,-0.0173283710721774,-0.2421889919416086,0.8417488312436079,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,479.23","$1,995,000.00","3520 17th Street, San Francisco,  CA 94110",3.0,2,1535.0,1908.0,-0.0173283710721774,-0.0888060558039626,-1.4467204004011884,94110,Mission,2.3605416788680884,3.6,2.26,2.44
"$1,082.94","$1,995,000.00","267 32nd Avenue, San Francisco,  CA 94121",3.0,1F11/2,1729.0,1911.0,-0.0173283710721774,0.063790301174003,-1.3787460667879767,94121,Outer Richmond,-0.1532819271992265,-0.26,-0.23,-0.05
"$1,278.24","$1,995,000.00","28 Pond Street, San Francisco,  CA 94114",3.0,3,2015.0,1997.0,-0.0173283710721774,0.2887519408425504,0.5698514967907607,94114,Noe Valley,-0.2251054588011498,-0.48,-0.33,-0.46
"$1,363.82","$1,995,000.00","266 Curtis Street, San Francisco,  CA 94112",4.0,3F11/2,2220.0,2021.0,-0.0173283710721774,0.4500006685769987,1.113646165696455,94112,Excelsior,-0.0455466297963416,-0.34,-0.38,-0.35
"$1,086.24","$1,995,000.00","1010 14th Street, San Francisco,  CA 94114",3.0,2F11/2,2250.0,1904.0,-0.0173283710721774,0.4735980433674058,-1.537352845218804,94114,Noe Valley,-0.2251054588011498,-0.48,-0.33,-0.46
"$1,743.30","$1,995,000.00","742 Hayes Street, San Francisco,  CA 94102",4.0,3,2960.0,1890.0,-0.0173283710721774,1.0320692467403731,-1.854566402080459,94102,Tenderloin,4.192041734717132,3.79,4.58,4.58
"$1,755.83","$1,995,000.00","145 Hampshire Street #B, San Francisco,  CA 94103",4.0,3,3083.0,2001.0,-0.0173283710721774,1.128818483381042,0.6604839416083764,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,161.94","$1,998,000.00","854 43rd Avenue, San Francisco,  CA 94121",4.0,2F11/2,2466.0,1920.0,-0.0161839477621969,0.6434991418583367,-1.1748230659483414,94121,Outer Richmond,-0.1532819271992265,-0.26,-0.23,-0.05
"$1,223.91","$1,999,000.00","1049 Clay Street, San Francisco,  CA 94109",3.0,2,1859.0,1928.0,-0.0158024733255367,0.1660455919324336,-0.99355817631311,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,661.83","$2,075,000.00","280 Spear Street #29C, San Francisco,  CA 94105",2.0,2,1312.0,2020.0,0.0131895838606361,-0.2642132084126552,1.090988054492051,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,631.23","$2,090,000.00","44 Bonview Street, San Francisco,  CA 94110",4.0,2,1610.0,1971.0,0.0189117004105387,-0.029812618827945,-0.0192593945237412,94110,Mission,2.3605416788680884,3.6,2.26,2.44
"$1,464.83","$2,095,000.00","461 2nd Street #C129, San Francisco,  CA 94107",2.0,2,2036.0,1907.0,0.0208190725938395,0.3052701031958353,-1.4693785116055924,94107,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,153.30","$2,100,000.00","1700 Vallejo Street, San Francisco,  CA 94123",3.0,2,2339.0,1908.0,0.0227264447771404,0.5436035885789468,-1.4467204004011884,94123,Marina,0.1340121992084665,-0.23,0.1,-0.09
"$1,452.58","$2,155,000.00","288 Pacific Avenue #6C, San Francisco,  CA 94111",2.0,2,1400.0,2018.0,0.0437075387934497,-0.1949942423607944,1.0456718320832432,94111,Financial District/South Beach,1.1395416416353925,0.57,0.92,0.65
"$1,240.91","$2,175,000.00","1870 Jackson Street #602, San Francisco,  CA 94109",3.0,2F11/2,1900.0,1931.0,0.0513370275266531,0.1982953374793233,-0.9255838426998982,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,553.23","$2,190,000.00","445 Anderson Street, San Francisco,  CA 94110",3.0,3,2609.0,1900.0,0.0570591440765557,0.7559799616926104,-1.62798529003642,94110,Mission,2.3605416788680884,3.6,2.26,2.44
"$1,412.91","$2,195,000.00","2525 Van Ness Avenue #402, San Francisco,  CA 94109",2.0,2,1406.0,2024.0,0.0589665162598565,-0.190274767402713,1.1816204993096666,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,742.23","$2,195,000.00","3590 20th Street #503, San Francisco,  CA 94110",3.0,3,1706.0,2015.0,0.0589665162598565,0.0456989805013576,0.9776974984700314,94110,Mission,2.3605416788680884,3.6,2.26,2.44
"$1,215.63","$2,195,000.00","70 Manzanita Avenue, San Francisco,  CA 94118",4.0,3,2247.0,1949.0,0.0589665162598565,0.471238305888365,-0.5177378410206276,94118,Lone Mountain/USF,-0.0814583955973032,-0.31,-0.23,-0.29
$972.58,"$2,245,000.00","350 Day Street, San Francisco,  CA 94131",2.0,1,908.0,1900.0,0.078040238092865,-0.5819911889234703,-1.62798529003642,94131,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,686.83","$2,275,000.00","488 Folsom Street #4204, San Francisco,  CA 94105",2.0,2F11/2,1549.0,2019.0,0.0894844711926701,-0.0777939475684393,1.0683299432876472,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,244.91","$2,275,000.00","2356 Larkin Street, San Francisco,  CA 94109",3.0,2,2072.0,1925.0,0.0894844711926701,0.3335869529443238,-1.0615325099263218,94109,Nob Hill,0.8522475152276994,0.32,0.06,0.35
"$1,031.24","$2,295,000.00","2289 15th Street, San Francisco,  CA 94114",3.0,3,1512.0,1900.0,0.0971139599258735,-0.106897376476608,-1.62798529003642,94114,Noe Valley,-0.2251054588011498,-0.48,-0.33,-0.46
"$1,174.58","$2,295,000.00","290 Maywood Drive, San Francisco,  CA 94127",3.0,2F11/2,2006.0,1950.0,0.0971139599258735,0.2816727284054283,-0.4950797298162236,94127,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,300.58","$2,295,000.00","514 29th Street, San Francisco,  CA 94131",3.0,2F11/2,2129.0,2002.0,0.0971139599258735,0.3784219650460972,0.6831420528127804,94131,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,130.24","$2,295,000.00","93 States Street, San Francisco,  CA 94114",3.0,2,2286.0,1917.0,0.0971139599258735,0.5019148931158942,-1.242797399561553,94114,Noe Valley,-0.2251054588011498,-0.48,-0.33,-0.46
"$1,169.58","$2,295,000.00","22 Fairfield Avenue, San Francisco,  CA 94127",5.0,4,2584.0,1928.0,0.0971139599258735,0.7363154827006044,-0.99355817631311,94127,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,099.58","$2,325,000.00","1507 Diamond Street, San Francisco,  CA 94131",4.0,2F11/2,2130.0,1912.0,0.1085581930256786,0.3792085442057775,-1.3560879555835728,94131,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,103.58","$2,350,000.00","15 Terrace Drive, San Francisco,  CA 94127",3.0,2,1910.0,1921.0,0.1180950539421829,0.2061611290761257,-1.1521649547439374,94127,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,156.94","$2,350,000.00","223 23rd Avenue, San Francisco,  CA 94121",4.0,3,2350.0,1916.0,0.1180950539421829,0.5522559593354294,-1.265455510765957,94121,Outer Richmond,-0.1532819271992265,-0.26,-0.23,-0.05
"$1,672.83","$2,385,000.00","706 Mission Street #12C, San Francisco,  CA 94103",2.0,2,1297.0,2020.0,0.1314466592252888,-0.2760118958078587,1.090988054492051,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,642.83","$2,395,000.00","765 Market Street #34E, San Francisco,  CA 94103",2.0,2F11/2,1453.0,2001.0,0.1352614035918905,-0.1533055468977419,0.6604839416083764,94103,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,692.83","$2,395,000.00","1 Steuart Lane #606, San Francisco,  CA 94105",2.0,2,1514.0,2021.0,0.1352614035918905,-0.1053242181572476,1.113646165696455,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,288.29","$2,398,000.00","2810 35th Avenue, San Francisco,  CA 94116",4.0,3,2530.0,1940.0,0.136405826901871,0.6938402080778717,-0.7216608418602629,94116,Sunset/Parkside,0.2417474966113515,0.13,0.42,0.31
"$1,449.58","$2,399,000.00","288 Pacific Avenue #2H, San Francisco,  CA 94111",2.0,2F11/2,1248.0,2018.0,0.1367873013385312,-0.3145542746321902,1.0456718320832432,94111,Financial District/South Beach,1.1395416416353925,0.57,0.92,0.65
"$1,194.63","$2,450,000.00","2201 Leavenworth Street, San Francisco,  CA 94133",4.0,2F11/2,2029.0,1938.0,0.1562424976081999,0.2997640490780737,-0.7669770642690708,94133,Russian Hill,-0.0814583955973032,-0.17,-0.08,-0.34
"$1,257.63","$2,475,000.00","55 Child Street #2, San Francisco,  CA 94133",3.0,2,1700.0,1977.0,0.1657793585247041,0.0409795055432762,0.1166892727026822,94133,Russian Hill,-0.0814583955973032,-0.17,-0.08,-0.34
"$1,661.83","$2,495,000.00","401 Harrison Street #40E, San Francisco,  CA 94105",2.0,2,1270.0,2014.0,0.1734088472579075,-0.2972495331192251,0.9550393872656274,94105,South of Market,2.3605416788680884,2.55,2.14,2.51
"$1,540.23","$2,495,000.00","3562 18th Street, San Francisco,  CA 94110",2.0,2,1805.0,1917.0,0.1734088472579075,0.1235703173097009,-1.242797399561553,94110,Mission,2.3605416788680884,3.6,2.26,2.44
"$1,113.58","$2,495,000.00","229 Granville Way, San Francisco,  CA 94127",3.0,3,1940.0,1922.0,0.1734088472579075,0.2297585038665327,-1.1295068435395337,94127,West of Twin Peaks,-0.5483113510098047,-0.37,-0.32,-0.29
"$1,215.65","$2,495,000.00","1905 Baker Street, San Francisco,  CA 94115",3.0,3,2065.0,1900.0,0.1734088472579075,0.3280808988265622,-1.62798529003642,94115,Western Addition,0.5290416230190447,0.29,1.31,0.34
"$1,453.58","$2,498,000.00","640 Davis Street #3, San Francisco,  CA 94111",3.0,3,2251.0,1983.0,0.174553270567888,0.474384622527086,0.2526379399291058,94111,Financial District/South Beach,1.1395416416353925,0.57,0.92,0.65
"$1,308.29","$2,498,000.00","1422 41st Avenue, San Francisco,  CA 94122",5.0,5F11/2,2846.0,1936.0,0.174553270567888,0.9423992225368262,-0.8122932866778786,94122,Sunset/Parkside,0.2417474966113515,0.13,0.42,0.31
